policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S0,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S2,96000,edge,AB,0.9642236612084204,1.1009782515018338,0.2915191217366647,True,physical effect plus numerical residual; not listening score
S2,44100,overlap-reference,A1,0.18909073782613786,0.22736872711748668,0.018195078502708864,True,physical effect plus numerical residual; not listening score
S2,48000,overlap-reference,A1,0.08203864523330769,0.09997134036447912,0.011041137340283417,True,physical effect plus numerical residual; not listening score
S2,96000,overlap-reference,A1,0.5697887695348723,0.5455510083553995,0.2028413664938841,True,physical effect plus numerical residual; not listening score
S2,44100,overlap-reference,B1,0.33688235537758243,0.36163151579957653,0.003304725242552323,True,physical effect plus numerical residual; not listening score
S2,48000,overlap-reference,B1,0.33685398295205354,0.3369830220628332,0.0033116370743009583,True,physical effect plus numerical residual; not listening score
S2,96000,overlap-reference,B1,0.3368399775268285,0.34450256345716723,0.003321306172548475,True,physical effect plus numerical residual; not listening score
S2,44100,overlap-reference,AB,0.1890924821090566,0.22736872711748668,0.018195761097357578,True,physical effect plus numerical residual; not listening score
S2,48000,overlap-reference,AB,0.0820405865371106,0.09997134036447912,0.01104473467800356,True,physical effect plus numerical residual; not listening score
S2,96000,overlap-reference,AB,0.5697619099832093,0.545581723700396,0.20282975127632025,True,physical effect plus numerical residual; not listening score
S2,44100,sustained-edge,A1,1.25560063050681,1.0543971772658902,0.29300589937275784,True,physical effect plus numerical residual; not listening score
S2,48000,sustained-edge,A1,0.8909320940043126,0.48053415078076345,0.23796252347053884,True,physical effect plus numerical residual; not listening score
S2,96000,sustained-edge,A1,1.3156312755402253,1.3518871795763634,0.48839452683857404,True,physical effect plus numerical residual; not listening score
S2,44100,sustained-edge,B1,1.9318608282752534,2.02242037488891,0.003408257504497468,True,physical effect plus numerical residual; not listening score
S2,48000,sustained-edge,B1,1.9324948996581168,1.9508105085525935,0.0035800808715749826,True,physical effect plus numerical residual; not listening score
S2,96000,sustained-edge,B1,1.922530803024984,1.9364465989736397,0.0031728824355533513,True,physical effect plus numerical residual; not listening score
S2,44100,sustained-edge,AB,1.2556026814443135,1.0543971772658902,0.29300721010200687,True,physical effect plus numerical residual; not listening score
S2,48000,sustained-edge,AB,0.8909321040913782,0.48053415078076345,0.23796319298638982,True,physical effect plus numerical residual; not listening score
S2,96000,sustained-edge,AB,1.3156312784974176,1.3518871795763634,0.48839487748412796,True,physical effect plus numerical residual; not listening score
